Iteration,0-0,0-1,1-0,1-1
0,0.7164600356268734,0.3051953672285064,0.649184555283548,0.37400508527297993
1,0.4469947968984516,0.05784940185096932,0.32899984801744553,0.16615595323313356
2,0.6907887421482992,0.0023733527892815403,0.03766736878270745,0.2691705362797119
3,0.7138960436752708,7.86578600795212e-05,0.002687580134713693,0.283337718329936
4,0.7119104868566061,2.588357681970847e-06,0.0001938298770007746,0.28789309490871107
5,0.7082440863389541,8.57060994583666e-08,1.390295894717962e-05,0.2917419249959993
6,0.7044963823888446,2.8578880512698845e-09,9.906888109673772e-07,0.29550262406445654
7,0.7007812436910686,9.596610124041132e-11,7.012979730930423e-08,0.2992186860831681
8,0.6971076572589244,3.2448762575261764e-12,4.932073627494685e-09,0.30289233780575703
9,0.6934770951193046,1.1046955586354499e-13,3.446257682608223e-10,0.3065229045359591
10,0.6898904192443363,3.783053869557449e-15,2.3926969886813895e-11,0.31010958073173295
11,0.6863483722653143,1.0926774377084115e-16,1.6507459254801186e-12,0.3136516277330348
12,0.6828516142451552,1.1401851009851635e-16,1.1317454057935668e-13,0.3171483857547315
13,0.6794007275743229,1.1116960432067264e-16,7.728009741400062e-15,0.32059927242566927
14,0.6759962197313741,1.081978301203364e-16,5.14362286242469e-16,0.32400378026862525
15,0.6726385259746577,1.1285652196546202e-16,1.1531662923036986e-16,0.3273614740253421
16,0.6693280120912372,1.099590981296826e-16,1.1399461069697817e-16,0.3306719879087627
17,0.6660649771949502,1.1466523175851948e-16,1.1258859207128137e-16,0.33393502280504955
18,0.6628496565574272,1.118474654952287e-16,1.110959643243077e-16,0.33715034344257255
19,0.6596822244565418,1.0891114090797529e-16,1.0951401112122102e-16,0.340317775543458
20,0.656562797028024,1.1353369896839396e-16,1.1416215703739434e-16,0.34343720297197583
21,0.6534914351072252,1.1067275644742944e-16,1.1266058793587805e-16,0.3465085648927746
22,0.6504681470492935,1.1534606354442826e-16,1.1107147505336763e-16,0.3495318529507063
23,0.6474928915172131,1.1256585489414241e-16,1.0939203550365462e-16,0.35250710848278666
24,0.6445655802283348,1.0967108825154853e-16,1.139891666659077e-16,0.355434419771665
25,0.6416860806511391,1.1426946125756742e-16,1.1238732457747077e-16,0.3583139193488607
26,0.6388542186450314,1.1145154131830937e-16,1.106966629354315e-16,0.36114578135496833
27,0.6360697810369702,1.0851882824183513e-16,1.1531800736361774e-16,0.3639302189630296
28,0.6333325181296624,1.1303997052866637e-16,1.1370775826670016e-16,0.36666748187033743
29,0.6306421461369455,1.1017987222966403e-16,1.1201026137764117e-16,0.36935785386305425
