Iteration,0-0,0-1,1-0,1-1,2-0,2-1,3-0,3-1,4-0,4-1,5-0,5-1,6-0,6-1,7-0,7-1,8-0,8-1,9-0,9-1,10-0,10-1,11-0,11-1,12-0,12-1,13-0,13-1,14-0,14-1,15-0,15-1
0,0.8504082200405826,0.17550295819612616,0.5198191415311251,0.5057643519558775,0.3485603596234109,0.07084276340102036,0.5759820075952405,0.40171270150452176,0.9114150610072178,0.8088855117422277,0.13205688809438398,0.7148644177265678,0.3466629147701171,0.6144114906565457,0.2874896343689425,0.9855697103724329,0.27221317635707465,0.819391518109579,0.5995158468227654,0.7204547720379494,0.9598751605790588,0.09285720106748407,0.4555102743903471,0.8825482394608531,0.6977038501296646,0.3212484836056748,0.36229180386392545,0.7336374565199791,0.6225423968720385,0.21828197815604333,0.9827048169064292,0.4003060254862554
1,0.7945305726073565,0.20546942739264348,0.7517831019975924,0.24821689800240765,0.5063446836493355,0.4936553163506644,0.6194663897211374,0.3805336102788625,0.5926477474845708,0.40735225251542917,0.6498217904901737,0.3501782095098262,0.6536026162480976,0.34639738375190243,0.5511469187318303,0.44885308126816964,0.47749178209897847,0.5225082179010214,0.5149815467720004,0.48501845322799975,0.5282288932508982,0.4717711067491018,0.37957244542850077,0.6204275545714991,0.4545531274744766,0.5454468725255234,0.31896695040740525,0.6810330495925947,0.5132374939809348,0.4867625060190651,0.3712938655805593,0.6287061344194407
2,0.9999925560405317,7.44395946836011e-06,0.9999925560405317,7.44395946836011e-06,0.9999925560405317,7.44395946836011e-06,0.9999925560405317,7.44395946836011e-06,0.9999925560405317,7.44395946836011e-06,0.9999925560405317,7.44395946836011e-06,0.9999925560405317,7.44395946836011e-06,0.9999786530372691,2.1346962730866014e-05,0.0007328720639475467,0.9992671279360524,2.0136686387483223e-05,0.9999798633136125,1.9999429879158877e-05,0.9999800005701208,0.02643575317411548,0.9735642468258845,0.031050627347626217,0.9689493726523738,0.12262536414143249,0.8773746358585676,1.9999429879158877e-05,0.9999800005701208,0.5280297619459056,0.4719702380540943
3,1.0,2.942248668491697e-29,1.0,2.942248668491697e-29,1.0,2.942248668491697e-29,1.0,2.942248668491697e-29,1.0,2.942248668491697e-29,1.0,2.942248668491697e-29,1.0,2.942248668491697e-29,1.0,2.942248668491697e-29,3.834956801542654e-12,0.9999999999961651,3.834956801542654e-12,0.9999999999961651,3.834956801542654e-12,0.9999999999961651,3.834956801542654e-12,0.9999999999961651,3.834956801542654e-12,0.9999999999961651,3.834956801542654e-12,0.9999999999961651,3.834956801542654e-12,0.9999999999961651,3.834956801542654e-12,0.9999999999961651
4,1.0,8.471942398971615e-32,1.0,8.471942398971615e-32,1.0,8.471942398971615e-32,1.0,8.471942398971615e-32,1.0,8.471942398971615e-32,1.0,8.471942398971615e-32,1.0,8.471942398971615e-32,1.0,8.471942398971615e-32,7.711877321055874e-13,0.9999999999992287,7.711877321055874e-13,0.9999999999992287,7.711877321055874e-13,0.9999999999992287,7.711877321055874e-13,0.9999999999992287,7.711877321055874e-13,0.9999999999992287,7.711877321055874e-13,0.9999999999992287,7.711877321055874e-13,0.9999999999992287,7.711877321055874e-13,0.9999999999992287
5,1.0,8.08580481656307e-32,1.0,8.08580481656307e-32,1.0,8.08580481656307e-32,1.0,8.08580481656307e-32,1.0,8.08580481656307e-32,1.0,8.08580481656307e-32,1.0,8.08580481656307e-32,1.0,8.08580481656307e-32,4.833152135349141e-13,0.9999999999995167,4.833152135349141e-13,0.9999999999995167,4.833152135349141e-13,0.9999999999995167,4.833152135349141e-13,0.9999999999995167,4.833152135349141e-13,0.9999999999995167,4.833152135349141e-13,0.9999999999995167,4.833152135349141e-13,0.9999999999995167,4.833152135349141e-13,0.9999999999995167
6,1.0,1.1543629335498948e-31,1.0,1.1543629335498948e-31,1.0,1.1543629335498948e-31,1.0,1.1543629335498948e-31,1.0,1.1543629335498948e-31,1.0,1.1543629335498948e-31,1.0,1.1543629335498948e-31,1.0,1.1543629335498948e-31,3.264128893839037e-13,0.9999999999996736,3.264128893839037e-13,0.9999999999996736,3.264128893839037e-13,0.9999999999996736,3.264128893839037e-13,0.9999999999996736,3.264128893839037e-13,0.9999999999996736,3.264128893839037e-13,0.9999999999996736,3.264128893839037e-13,0.9999999999996736,3.264128893839037e-13,0.9999999999996736
7,1.0,1.6897168466400014e-31,1.0,1.6897168466400014e-31,1.0,1.6897168466400014e-31,1.0,1.6897168466400014e-31,1.0,1.6897168466400014e-31,1.0,1.6897168466400014e-31,1.0,1.6897168466400014e-31,1.0,1.6897168466400014e-31,2.2241655524652155e-13,0.9999999999997776,2.2241655524652155e-13,0.9999999999997776,2.2241655524652155e-13,0.9999999999997776,2.2241655524652155e-13,0.9999999999997776,2.2241655524652155e-13,0.9999999999997776,2.2241655524652155e-13,0.9999999999997776,2.2241655524652155e-13,0.9999999999997776,2.2241655524652155e-13,0.9999999999997776
8,1.0,2.4681039541788226e-31,1.0,2.4681039541788226e-31,1.0,2.4681039541788226e-31,1.0,2.4681039541788226e-31,1.0,2.4681039541788226e-31,1.0,2.4681039541788226e-31,1.0,2.4681039541788226e-31,1.0,2.4681039541788226e-31,1.5224302542130642e-13,0.9999999999998477,1.5224302542130642e-13,0.9999999999998477,1.5224302542130642e-13,0.9999999999998477,1.5224302542130642e-13,0.9999999999998477,1.5224302542130642e-13,0.9999999999998477,1.5224302542130642e-13,0.9999999999998477,1.5224302542130642e-13,0.9999999999998477,1.5224302542130642e-13,0.9999999999998477
9,1.0,3.5901222648588873e-31,1.0,3.5901222648588873e-31,1.0,3.5901222648588873e-31,1.0,3.5901222648588873e-31,1.0,3.5901222648588873e-31,1.0,3.5901222648588873e-31,1.0,3.5901222648588873e-31,1.0,3.5901222648588873e-31,1.0466125642602754e-13,0.9999999999998953,1.0466125642602754e-13,0.9999999999998953,1.0466125642602754e-13,0.9999999999998953,1.0466125642602754e-13,0.9999999999998953,1.0466125642602754e-13,0.9999999999998953,1.0466125642602754e-13,0.9999999999998953,1.0466125642602754e-13,0.9999999999998953,1.0466125642602754e-13,0.9999999999998953
10,1.0,5.199380293476202e-31,1.0,5.199380293476202e-31,1.0,5.199380293476202e-31,1.0,5.199380293476202e-31,1.0,5.199380293476202e-31,1.0,5.199380293476202e-31,1.0,5.199380293476202e-31,1.0,5.199380293476202e-31,7.226752820717534e-14,0.9999999999999278,7.226752820717534e-14,0.9999999999999278,7.226752820717534e-14,0.9999999999999278,7.226752820717534e-14,0.9999999999999278,7.226752820717534e-14,0.9999999999999278,7.226752820717534e-14,0.9999999999999278,7.226752820717534e-14,0.9999999999999278,7.226752820717534e-14,0.9999999999999278
11,1.0,7.496349870149674e-31,1.0,7.496349870149674e-31,1.0,7.496349870149674e-31,1.0,7.496349870149674e-31,1.0,7.496349870149674e-31,1.0,7.496349870149674e-31,1.0,7.496349870149674e-31,1.0,7.496349870149674e-31,5.0123906223876234e-14,0.9999999999999499,5.0123906223876234e-14,0.9999999999999499,5.0123906223876234e-14,0.9999999999999499,5.0123906223876234e-14,0.9999999999999499,5.0123906223876234e-14,0.9999999999999499,5.0123906223876234e-14,0.9999999999999499,5.0123906223876234e-14,0.9999999999999499,5.0123906223876234e-14,0.9999999999999499
12,1.0,1.0758976487134834e-30,1.0,1.0758976487134834e-30,1.0,1.0758976487134834e-30,1.0,1.0758976487134834e-30,1.0,1.0758976487134834e-30,1.0,1.0758976487134834e-30,1.0,1.0758976487134834e-30,1.0,1.0758976487134834e-30,3.492398525899782e-14,0.999999999999965,3.492398525899782e-14,0.999999999999965,3.492398525899782e-14,0.999999999999965,3.492398525899782e-14,0.999999999999965,3.492398525899782e-14,0.999999999999965,3.492398525899782e-14,0.999999999999965,3.492398525899782e-14,0.999999999999965,3.492398525899782e-14,0.999999999999965
13,1.0,1.5370417395353948e-30,1.0,1.5370417395353948e-30,1.0,1.5370417395353948e-30,1.0,1.5370417395353948e-30,1.0,1.5370417395353948e-30,1.0,1.5370417395353948e-30,1.0,1.5370417395353948e-30,1.0,1.5370417395353948e-30,2.444607237775129e-14,0.9999999999999755,2.444607237775129e-14,0.9999999999999755,2.444607237775129e-14,0.9999999999999755,2.444607237775129e-14,0.9999999999999755,2.444607237775129e-14,0.9999999999999755,2.444607237775129e-14,0.9999999999999755,2.444607237775129e-14,0.9999999999999755,2.444607237775129e-14,0.9999999999999755
14,1.0,2.185587278907693e-30,1.0,2.185587278907693e-30,1.0,2.185587278907693e-30,1.0,2.185587278907693e-30,1.0,2.185587278907693e-30,1.0,2.185587278907693e-30,1.0,2.185587278907693e-30,1.0,2.185587278907693e-30,1.719200782971881e-14,0.9999999999999828,1.719200782971881e-14,0.9999999999999828,1.719200782971881e-14,0.9999999999999828,1.719200782971881e-14,0.9999999999999828,1.719200782971881e-14,0.9999999999999828,1.719200782971881e-14,0.9999999999999828,1.719200782971881e-14,0.9999999999999828,1.719200782971881e-14,0.9999999999999828
15,1.0,3.093114199754076e-30,1.0,3.093114199754076e-30,1.0,3.093114199754076e-30,1.0,3.093114199754076e-30,1.0,3.093114199754076e-30,1.0,3.093114199754076e-30,1.0,3.093114199754076e-30,1.0,3.093114199754076e-30,1.2147832632383221e-14,0.9999999999999878,1.2147832632383221e-14,0.9999999999999878,1.2147832632383221e-14,0.9999999999999878,1.2147832632383221e-14,0.9999999999999878,1.2147832632383221e-14,0.9999999999999878,1.2147832632383221e-14,0.9999999999999878,1.2147832632383221e-14,0.9999999999999878,1.2147832632383221e-14,0.9999999999999878
16,1.0,4.3566209923905846e-30,1.0,4.3566209923905846e-30,1.0,4.3566209923905846e-30,1.0,4.3566209923905846e-30,1.0,4.3566209923905846e-30,1.0,4.3566209923905846e-30,1.0,4.3566209923905846e-30,1.0,4.3566209923905846e-30,8.624719404576879e-15,0.9999999999999913,8.624719404576879e-15,0.9999999999999913,8.624719404576879e-15,0.9999999999999913,8.624719404576879e-15,0.9999999999999913,8.624719404576879e-15,0.9999999999999913,8.624719404576879e-15,0.9999999999999913,8.624719404576879e-15,0.9999999999999913,8.624719404576879e-15,0.9999999999999913
17,1.0,6.106796164891905e-30,1.0,6.106796164891905e-30,1.0,6.106796164891905e-30,1.0,6.106796164891905e-30,1.0,6.106796164891905e-30,1.0,6.106796164891905e-30,1.0,6.106796164891905e-30,1.0,6.106796164891905e-30,6.152920876494157e-15,0.9999999999999938,6.152920876494157e-15,0.9999999999999938,6.152920876494157e-15,0.9999999999999938,6.152920876494157e-15,0.9999999999999938,6.152920876494157e-15,0.9999999999999938,6.152920876494157e-15,0.9999999999999938,6.152920876494157e-15,0.9999999999999938,6.152920876494157e-15,0.9999999999999938
